Mother	Treatment	Weight	Littersize	Weight_before	Weight_after	difference	Partner	Weight1_P	Weight2_P	Dom1_P	Dom2_P	Dom1	Dom2
4906	C	2.85	5	18.4	21.7	3.3	4978	16.3	18.2	0.28804	0.24444	3.75	3.75
4906	C	2.92	5	18.4	21.7	3.3	4978	16.3	18.2	0.28804	0.24444	3.75	3.75
4906	C	2.5	5	18.4	21.7	3.3	4978	16.3	18.2	0.28804	0.24444	3.75	3.75
4912	AP	2.86	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4912	AP	2.85	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4912	AP	2.66	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4912	AP	2.94	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4912	AP	2.86	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4912	AP	2.93	6	16.5	24	7.5	772	17.5	18.7	0.075471698	0.081395349	0.25	1.25
4913	AP	2.85	4	17.5	22.8	5.3	E0814	20.5	18.6	0.27933	0.09816	3.75	3.75
4913	AP	2.91	4	17.5	22.8	5.3	E0814	20.5	18.6	0.27933	0.09816	3.75	3.75
4913	AP	2.66	4	17.5	22.8	5.3	E0814	20.5	18.6	0.27933	0.09816	3.75	3.75
4913	AP	2.9	4	17.5	22.8	5.3	E0814	20.5	18.6	0.27933	0.09816	3.75	3.75
4919	AP	2.84	4	12.7	19.3	6.6	3393	19.5	22.2	0.51149	0.52326	5.5	6
4919	AP	2.88	4	12.7	19.3	6.6	3393	19.5	22.2	0.51149	0.52326	5.5	6
4919	AP	2.93	4	12.7	19.3	6.6	3393	19.5	22.2	0.51149	0.52326	5.5	6
4919	AP	2.61	4	12.7	19.3	6.6	3393	19.5	22.2	0.51149	0.52326	5.5	6
4926	W	3.73	1	14.3	19.9	5.6	4958	24.2	22.1	0.53695	0.16667	5.75	3.25
4937	AP	2.52	3	17.1	20.2	3.1	841	17.4	19.3	0.3	0.25543	3.75	3.25
4937	AP	2.55	3	17.1	20.2	3.1	841	17.4	19.3	0.3	0.25543	3.75	3.25
4937	AP	3.34	3	17.1	20.2	3.1	841	17.4	19.3	0.3	0.25543	3.75	3.25
4938	APC	2.45	4	14.9	24.7	9.8	3389	17	18.6	0.20109	0.03125	2.5	0.5
4938	APC	3.47	4	14.9	24.7	9.8	3389	17	18.6	0.20109	0.03125	2.5	0.5
4938	APC	3.33	4	14.9	24.7	9.8	3389	17	18.6	0.20109	0.03125	2.5	0.5
4938	APC	3.42	4	14.9	24.7	9.8	3389	17	18.6	0.20109	0.03125	2.5	0.5
4939	W	2.85	4	18.3	23	4.7	4803	20.9	21.4	0.45	0.49	4.75	4
4939	W	2.95	4	18.3	23	4.7	4803	20.9	21.4	0.45	0.49	4.75	4
4939	W	2.92	4	18.3	23	4.7	4803	20.9	21.4	0.45	0.49	4.75	4
4939	W	3	4	18.3	23	4.7	4803	20.9	21.4	0.45	0.49	4.75	4
4940	APC	3.35	3	16.2	20.1	3.9	4915	20.5	19.1	0.112359551	0.124223602	0.75	0.25
4940	APC	3.39	3	16.2	20.1	3.9	4915	20.5	19.1	0.112359551	0.124223602	0.75	0.25
4940	APC	2.93	3	16.2	20.1	3.9	4915	20.5	19.1	0.112359551	0.124223602	0.75	0.25
4951	W	1.94	5	13.9	22.1	8.2	4952	18.7	NA	0.40323	NA	4.75	NA
4951	W	1.98	5	13.9	22.1	8.2	4952	18.7	NA	0.40323	NA	4.75	NA
4951	W	2.09	5	13.9	22.1	8.2	4952	18.7	NA	0.40323	NA	4.75	NA
4951	W	2.07	5	13.9	22.1	8.2	4952	18.7	NA	0.40323	NA	4.75	NA
4951	W	2.14	5	13.9	22.1	8.2	4952	18.7	NA	0.40323	NA	4.75	NA
4956	C	2.6	4	20.4	25.2	4.8	6733f34	26.9	27.2	0.27692	0.09551	3.5	2.5
